feature,label,rf_importance,xgb_gain_importance,avg_importance
google_trend_slope,Google趨勢斜率,0.1562582121507545,0.2718176678744264,0.21403794001259047
image_count,圖片數量,0.048815319559769366,0.10492238400871305,0.07686885178424122
word_count,文案總字數,0.052055090196317565,0.06807052630359377,0.06006280824995566
blockbuster_similarity,爆款相似度,0.09202017815673261,0.0,0.046010089078366304
feat_punct_intensity,標點符號強度,0.060869203060944246,0.02678798381230928,0.04382859343662676
price_avg,平均方案價格,0.04332790727307376,0.035860410729916394,0.03959415900149507
FAQ更新頻率,FAQ更新頻率,0.0503905149494284,0.021758696664005643,0.03607460580671702
price_max,最高方案價格,0.047943185957941566,0.02301405982409334,0.035478622891017456
FAQ總題數,FAQ總題數,0.02790278088441123,0.0329752660850122,0.030439023484711718
feat_adverb_density,副詞密度,0.014935859194752332,0.045114717565594535,0.03002528838017343
video_duration,影片長度(秒),0.03124392280977828,0.024634867202472828,0.027939395006125554
video_count,影片數量,0.025572810956511313,0.03000131429059325,0.02778706262355228
category_recent_success,同類近期成功率,0.05515237448058918,0.0,0.02757618724029459
price_min,最低方案價格,0.026120522512144285,0.028197487395658583,0.027159004953901434
feat_adj_nv_ratio,形/(名+動)比例,0.032522798571529836,0.02174688745890074,0.027134843015215286
feat_avg_sentence_len,平均句長,0.02207315801987508,0.031169460180027007,0.026621309099951043
feat_numeral_density,數字密度,0.027963068783010223,0.01487710706606048,0.021420087924535352
price_tier_count,回饋方案層級數,0.018712460097197597,0.023707886294365432,0.021210173195781515
market_saturation,市場飽和度,0.04239582216732835,0.0,0.021197911083664176
feat_text_story_ratio,故事段落比例,0.01101970113976295,0.030887721786653423,0.020953711463208187
usage_scene_ratio,實際操作情境佔比,0.018415157209947013,0.018778379795126414,0.018596768502536713
has_video,有主影片,0.005807236608174814,0.026666841713935182,0.016237039161054997
feat_entity_density,實體密度,0.012208532832408896,0.01879417666842302,0.015501354750415959
feat_type_token_ratio,詞彙多樣性(TTR),0.018373441702250814,0.011808713131898615,0.015091077417074715
feat_text_risk_ratio,風險說明比例,0.009384227659641357,0.020130556942208593,0.014757392300924975
sub_cat_encoded,次分類(編碼),0.010479469485026548,0.018219985802919145,0.014349727643972847
feat_text_spec_ratio,規格段落比例,9.314694990170184e-05,0.022233777668495738,0.01116346230919872
折扣層數,折扣層數,0.019881237202576937,0.0,0.009940618601288469
feat_has_social_link,社群連結數,0.002627624748805354,0.017242541991528863,0.009935083370167108
main_cat_encoded,主分類(編碼),0.004247112673109201,0.010580581743068043,0.007413847208088622
media_per_100_words,多媒體密度(每百字),0.011187922006304588,0.0,0.005593961003152294
